"CONTACT","CONTPHONE","CONTRACT","DIMENSIONS","DOL_NUM","EVENTPRO_LOT","FEATURETYPE","INSPECTS","LOC_NAME","LOT_LOC","MAP_PAGE","NAMELABEL","OBJECTID","ORIG_FID","PRODUCT","SUB","TICKETS","URL","VENDORTYPE","y","x"
"","","Zoom Promotions","","","SCOTT031","Vendor","OTHER","Scott Building","SCOTT-31","Page 20","Zoom",485,498,"Hip Clip (Pocketbook) ","","","","",35.796216,-78.708128
"","","Big Skinny Wallets","","","SCOTT032","Vendor","OTHER","Scott Building","SCOTT-32","Page 20","Big Skinny",486,499,"Big Skinny Wallets (Men & Women)","","","","",35.796241,-78.708142
"","","Tupperware","","","SCOTT033","Vendor","OTHER","Scott Building","SCOTT-33","Page 20","Tupper Ware",487,500,"Tupperware Products","","","","",35.796265,-78.708157
"","","Tupperware","","","SCOTT034","Vendor","OTHER","Scott Building","SCOTT-34","Page 20","Tupper Ware",488,501,"Tupperware Products","","","","",35.796289,-78.708171
"","","NC A&T","","","SCOTT035","Vendor","OTHER","Scott Building","SCOTT-35","Page 20","NC A&T",489,502,"Giving Information About An Educational Experience You Will Receive At NC A&T University - College Of Agriculture &  Environmental Sciences. Give-A-Ways: Pens & Pencils. This Will Be A 1 Year Only Contract.","","","","",35.796314,-78.708185
"","","Fenn & Co.","","","SCOTT036","Vendor","OTHER","Scott Building","SCOTT-36","Page 20","Fenn",490,503,"Sunglasses, Christmas Decorations (Pet), Pet Frames And Key Rings","","","","",35.796338,-78.708199
"","","NCDA & CS-Structural Pest  Control & Pesticides Division","","","SCOTT073","Vendor","OTHER","Scott Building","SCOTT-73","Page 20","NCDA",491,504,"Pesticide Protection","","","","",35.796374,-78.70825
"","","Vacant","","","","Vendor","OTHER","Scott Building","SCOTT- ","Page 20","Vacant",492,505,"","","","","",35.796025,-78.708056
"","","NC Dairy Industry Promotion Commission","","","SCOTT013","Vendor","F&D","Scott Building","SCOTT-13","Page 20","NC Dairy Industry",493,506,"Dairy Products","","","","",35.796058,-78.708072
"","","Mattress Firm","","","SCOTT014","Sponsor","OTHER","Scott Building","SCOTT-14","Page 20","Mattress Firm",494,507,"Mattress Firm - Sponsor","","","","",35.796082,-78.708087
"","","Mattress Firm","","","SCOTT015","Sponsor","OTHER","Scott Building","SCOTT-15","Page 20","Mattress Firm",495,508,"Mattress Firm - Sponsor","","","","",35.796107,-78.708101
"","","Mattress Firm","","","SCOTT016","Sponsor","OTHER","Scott Building","SCOTT-16","Page 20","Mattress Firm",496,509,"Mattress Firm - Sponsor","","","","",35.796131,-78.708115
"","","Mattress Firm","","","SCOTT017","Sponsor","OTHER","Scott Building","SCOTT-17","Page 20","Mattress Firm",497,510,"Mattress Firm - Sponsor","","","","",35.796156,-78.70813
"","","NC Dept Of Insurance","","","SCOTT018","Vendor","OTHER","Scott Building","SCOTT-18","Page 20","NC Dept Of Insurance",498,511,"Brochures, Vehicle Safety, Display Aimed At Protecting Children Around Cars","","","","",35.79618,-78.708144
"","","NC Dept Of Insurance","","","SCOTT019","Vendor","F&D","Scott Building","SCOTT-19","Page 20","NC Dept Of Insurance ",499,512,"Information About Medicare/Medicaid & Counseling Outside Of Fair Hours.","","","","",35.796205,-78.708158
"","","Chocolate Moonshine Co","","","SCOTT020","Vendor","F&D","Scott Building","SCOTT-20","Page 20","Chocolate Moonshine Co",500,513,"Gourmet Fudge Flavors, Belgian Chocolate Truffle Bars, Pecan Turtles, Oreos, Pretzels. 1 Year Only Contract.","","","","",35.796229,-78.708172
"","","Chocolate Moonshine Co","","","SCOTT021","Vendor","F&D","Scott Building","SCOTT-21","Page 20","Chocolate Moonshine Co",501,514,"Gourmet Fudge Flavors, Belgian Chocolate Truffle Bars, Pecan Turtles, Oreos, Pretzels. 1 Year Only Contract.","","","","",35.796253,-78.708187
"","","NC Secretary Of State","","","SCOTT022","Vendor","OTHER","Scott Building","SCOTT-22","Page 20","NC Sec. Of State",502,515,"Securities & Corporate Information","","","","",35.796278,-78.708201
"","","Le Bleu Water","","","SCOTT023","Vendor","F&D","Scott Building","SCOTT-23","Page 20","Le Bleu Water ",503,516,"2 Oz Of Sampling Water, Selling Water & Coffee. 1 Year Only","","","","",35.796302,-78.708215
